what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1383724275289
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724300620
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724304959
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383724304983
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.create.getter.setter,1383724305033
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1383724312579
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1383724313450
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383724314700
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1383724315826
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724409440
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724409543
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1383724427974
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1383724464591
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724466633
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724478843
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383724478908
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383724478960
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724486792
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724499760
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1383724532352
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1383724595575
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383724596115
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1383724597400
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724605756
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724607413
