what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1383721858936
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1383721858949
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1383721858950
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1383721860908
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1383721860936
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1383721860961
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383721863907
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383721906925
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1383721906966
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1383721907359
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1383721920827
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1383721920829
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383721921478
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1383721934988
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1383721935419
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1383721935423
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383721935485
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1383721938135
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1383721938137
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1383721938376
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383721941432
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383721943116
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383721948099
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383721966611
started,bundle,org.eclipse.emf.mint,0.7.1.v200809162149,org.eclipse.emf.mint,1383721966824
