what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1383722184342
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383722191658
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383723863727
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1383723865959
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383723875481
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383723887248
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383723887321
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383723887372
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1383723889108
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383723890682
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1383723896876
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383723899456
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383723902296
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383723902358
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383723902409
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724031811
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724068701
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724103475
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724106246
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724108038
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724112856
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1383724264229
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724266915
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724268917
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1383724269464
